Scenario,Global_Mean,B1200_Mean,B2000_Mean,B6000_Mean,B6300_Mean,B6700_Mean,B6800_Mean,B6900_Mean,FH_Mean,SLQ12200_Mean,SLQ6000_Mean,Global_P_Value,Global_Cohens_d,Global_CI_Lower,Global_CI_Upper,B1200_P_Value,B1200_Cohens_d,B1200_CI_Lower,B1200_CI_Upper,B2000_P_Value,B2000_Cohens_d,B2000_CI_Lower,B2000_CI_Upper,B6000_P_Value,B6000_Cohens_d,B6000_CI_Lower,B6000_CI_Upper,B6300_P_Value,B6300_Cohens_d,B6300_CI_Lower,B6300_CI_Upper,B6700_P_Value,B6700_Cohens_d,B6700_CI_Lower,B6700_CI_Upper,B6800_P_Value,B6800_Cohens_d,B6800_CI_Lower,B6800_CI_Upper,B6900_P_Value,B6900_Cohens_d,B6900_CI_Lower,B6900_CI_Upper,FH_P_Value,FH_Cohens_d,FH_CI_Lower,FH_CI_Upper,SLQ12200_P_Value,SLQ12200_Cohens_d,SLQ12200_CI_Lower,SLQ12200_CI_Upper,SLQ6000_P_Value,SLQ6000_Cohens_d,SLQ6000_CI_Lower,SLQ6000_CI_Upper
Baseline,6.8525048574255525,7.083824553658346,7.4702626038301,7.408942392318437,5.742370887978376,6.681318636543237,8.3245811534837,5.74632425119114,7.303882983745562,5.316116435473001,7.447424676033627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp 2: Removal,6.1760453332758996,7.078842973030627,6.352157524379221,5.403781374454831,5.3454424740178,6.397734712347908,7.987483973661761,5.5952498876209065,6.598642359535608,5.315237841453287,5.685880212257048,0.0,-0.9931984117179558,-0.6953392278593145,-0.6575798204399896,0.7067505918434989,-0.005320948681735995,-0.030933379602964342,0.020970218347526062,0.0,-1.2903349623093157,-1.1421248873934262,-1.0940852715083311,0.0,-2.489501694206444,-2.027487803454176,-1.9828342322730361,3.0018191591021027e-293,-0.5264056545602079,-0.4178300854683066,-0.3760267424528454,3.1541612829605182e-121,-0.3334120629514008,-0.30716098558061317,-0.2600068628100454,2.5476783552940284e-117,-0.327830582910421,-0.3656004722373363,-0.30859388740654276,4.2832163383691514e-43,-0.19510541711457263,-0.17253837152332735,-0.12961035561714035,0.0,-0.7980092544888703,-0.7297379550962299,-0.6807432933236778,0.9344878952865584,-0.0011625523627660822,-0.02182768074584161,0.02007049270641446,0.0,-2.160502091886518,-1.7841454969984625,-1.738943430554695
Exp 3: Swap 4CMC,6.578194715565216,7.078303262095605,6.95581462560837,6.3257676434330214,5.677449984788668,6.660855073032624,8.318638003971907,5.730519439194436,7.0364673397869515,5.311699803684397,6.686431980056182,6.55309517414055e-174,-0.40158247757455656,-0.2932447571200952,-0.25537552660057633,0.6756438314664643,-0.005917662362505567,-0.031384349579628254,0.020341766454146353,0.0,-0.5874175959022235,-0.5387243560598252,-0.4901716003836348,0.0,-1.323138666670214,-1.1058672591679988,-1.0604822386028323,1.3287256889644801e-09,-0.08580107644763431,-0.08589489971288285,-0.04394690666653449,0.08769657584116722,-0.024152568155561584,-0.04394946972941878,0.003022342708193307,0.6773838617490993,-0.005884014139378046,-0.03394149209902476,0.022055193075437914,0.14797534021638498,-0.02046152571451791,-0.03721599657286806,0.00560637257945867,8.017492949419217e-101,-0.30319731402816136,-0.29186406608432025,-0.242967221832901,0.6795605086258014,-0.005841969561861328,-0.02537325374489563,0.016539990167688368,0.0,-0.9144659847032769,-0.7840602904381707,-0.73792510151672
Exp 3: Swap WC,6.780658582770959,7.056209322233341,7.446005199057028,7.389244986680883,5.7053675814293205,6.509131349677698,8.063206059579803,5.630296104051829,7.28222880618203,5.303898484684531,7.420997934133127,2.18180660651366e-13,-0.10383941405744533,-0.09102551494548053,-0.052667034363703985,0.03852824911307865,-0.029266162935690485,-0.05377128847491386,-0.0014591743750950181,0.050986191935987836,-0.02760277434098458,-0.048617611816804976,0.0001028022706620231,0.10528559180343264,-0.02290893362187146,-0.04353121875756612,0.004136407482458877,0.0005601181057141357,-0.0488038720665216,-0.058020543887597566,-0.015986069210514063,1.5457261291620575e-45,-0.20081515297492591,-0.19595536013190706,-0.14841921359916999,1.0905834080026841e-70,-0.25239821027182635,-0.2900807386474452,-0.23266944916034926,8.024117402265768e-26,-0.14880541686327342,-0.13764208960997523,-0.09441420466864761,0.08585745736193534,-0.02429388745397425,-0.04636197620960489,0.0030536210825414523,0.2534713743373758,-0.016151001198148034,-0.03318746150632164,0.008751559929381883,0.02907680398699147,-0.03086818167851324,-0.0501580649021041,-0.002695418898895869
Exp 3: Swap PVC,6.685839193550049,7.075896487405609,7.394678094651542,7.013255262376736,5.498371404719119,6.609138813171134,8.298312515088439,5.724861983075569,7.042629000935069,5.314383625324905,6.886864748752363,3.1744723798153893e-66,-0.2440143766729758,-0.18559869273965018,-0.14773263501135775,0.5485491975935508,-0.008484938230968016,-0.033828555078214015,0.017972422572741325,1.101494950546459e-09,-0.08622705931727155,-0.09988296064636805,-0.05128605771074811,1.2031670661706683e-239,-0.4739973540675701,-0.41882723798113425,-0.372547021902267,2.4622855832298643e-114,-0.3235050724160311,-0.26490674647850165,-0.2230922200400126,1.9024973447582305e-09,-0.08498016558584078,-0.0957242228039454,-0.04863542394026092,0.06735033221784194,-0.0258733187296342,-0.05441192403983058,0.0018746472493066865,0.04980449638632265,-0.027744837367425765,-0.04290513292453274,-1.940330660960346e-05,4.438822887345476e-96,-0.29575567293355115,-0.2857400598361637,-0.23676790578482312,0.8711683449064241,-0.0022936395923754283,-0.022674666726813574,0.019209046430622,0.0,-0.6668646385367157,-0.5838608829815766,-0.537258971580951
Exp 3: Swap KC,6.763013648282859,7.05638425828801,7.100764941821832,7.214939001047622,5.712648367610069,6.672312853455951,8.30032014715311,5.727255879307616,7.2376619753931415,5.302113747035716,7.305735311715523,2.844109469728634e-20,-0.13060373191791438,-0.1084851098865208,-0.0704973083988655,0.0378671297550545,-0.029366594006679004,-0.05334177522081117,-0.0015388155198601434,5.068461958829257e-192,-0.42265816838306164,-0.3937309198413624,-0.34526440417517307,5.157992186217183e-59,-0.22985083049935073,-0.21739998422206644,-0.17060679831956402,0.005092973113981585,-0.039619809046724304,-0.050517697799642866,-0.008927342936971411,0.4537046882388581,-0.010596775206569993,-0.03256371356373125,0.014552147389159581,0.09311066434601319,-0.023749970481389843,-0.052577215512575735,0.004055202851395011,0.08062273211068452,-0.024709989077175552,-0.04045933972345858,0.002322595956409129,1.2958720865915145e-07,-0.07469309023337596,-0.09079664271044738,-0.04164537399439386,0.18865233469263004,-0.01859248023571149,-0.03487946640078586,0.006874089526216699,5.800800835142426e-32,-0.16670387673156714,-0.16524967034801574,-0.11812905828819241
Exp 4: New Node (4CMC specs),7.204478492181332,9.661171271390986,7.437265544585572,7.3824588903008905,5.734266079399231,6.6684869197726195,8.300823799493617,5.720327929054379,7.277284071697827,6.434557653653012,7.428142762465178,9.522491712108974e-293,0.5259367672618657,0.333422692420282,0.37052457709127895,0.0,3.3220623161330125,2.5558409749998305,2.5988524604654493,0.007686026487738183,-0.037702413106164116,-0.057257319963803066,-0.008736798525251836,0.027950141148660575,-0.031088029194815632,-0.050097612830994814,-0.002869391204098095,0.44870950847724134,-0.010714379115660352,-0.029073200611598182,0.01286358345330757,0.2856543255280926,-0.015100765270743843,-0.036386286920873485,0.010722853379638804,0.09817490726741321,-0.02339005574688046,-0.051912396468846794,0.004397688488680249,0.017301936100785363,-0.033665993546329306,-0.04740105682365184,-0.004591587449870066,0.03374479185414095,-0.030028852038613583,-0.051152474837929424,-0.0020453492575405983,0.0,1.4561581905016865,1.0971503200747077,1.1397321162853138,0.11044064070826065,-0.022576029193411704,-0.04295702047561402,0.004393193338716472
Exp 4: New Node (WC specs),6.903912550686391,7.564496181872598,7.449634623636022,7.38620659866576,5.720315602438404,6.67921031883657,8.303335767202729,5.730612044283559,7.291212738627192,5.480958086679816,7.433143544621264,1.1846582901227188e-07,0.07492554022884784,0.03238869630713977,0.07042669021454033,1.3695647621773447e-278,0.5125421925781224,0.45467552568902747,0.506667730739477,0.09849762359009434,-0.02336762809361374,-0.04509783817053865,0.0038418777823824926,0.05984974804175232,-0.026616911012416113,-0.0464136205568951,0.0009420332515413798,0.03803236895021991,-0.029341353485851426,-0.0428916486052959,-0.0012189224746481965,0.8600784378745534,-0.0024930520914912364,-0.02555028621244381,0.021333650799109864,0.13971305935167577,-0.020887835250641928,-0.04943963803580215,0.006948865473858031,0.15376407751593701,-0.02017356895521977,-0.03730176869715568,0.005877354881992758,0.3104922828820405,-0.014343888039972611,-0.03715566214075536,0.011815171904015351,3.7423380716889144e-54,0.219807294836545,0.14405357837523083,0.18562972403840036,0.23709270303975954,-0.016721369697902694,-0.03795559466822304,0.009393331843496635
Exp 4: New Node (PVC specs),7.000420515508388,8.284573419363252,7.442327810943234,7.3951890876020245,5.719583427459359,6.671335955805829,8.298133726087329,5.725117828786128,7.285595898890693,5.749609539916245,7.432738460229794,5.4349095094627594e-52,0.21519429548663913,0.1288622455578716,0.1669690706078049,0.0,1.2881160866543777,1.1749092199132802,1.2265885114965316,0.024853392483894777,-0.03173432063353055,-0.052335680540828475,-0.003533905232902774,0.2507495431811297,-0.01624396019491899,-0.0372228418029425,0.009716232370117598,0.03373716796621975,-0.03003013941130252,-0.04382175529404192,-0.001753165743993479,0.40510684333989555,-0.01177466554225695,-0.033483769183725594,0.01351840770891017,0.06522146456570771,-0.026077118007068596,-0.05456081732494511,0.0016659625322016335,0.05194699378186709,-0.02748928571212353,-0.042590638159529,0.00017779334950384154,0.1441586228739478,-0.02065612629264604,-0.0428276734481238,0.006253503738386096,0.0,0.573842146953492,0.4125529863847577,0.4544332225017298,0.2244989066013938,-0.017179161678986615,-0.03838343106212291,0.009010999454457345
Exp 4: New Node (KC specs),7.451614364859802,9.999387129457618,7.450848122090674,7.404788042269638,5.734808724124619,6.687168650643132,8.319801259651234,5.744996065718936,7.299957568641822,8.439833613955312,7.434554472045032,0.0,0.9174725728918068,0.5810085104368155,0.6172105044316856,0.0,4.404193561645264,2.8972121838750113,2.933912967723534,0.11671141963292132,-0.02218722806595246,-0.0436700877217632,0.004841124242912189,0.7295294739959469,-0.0048899776015058445,-0.0277040616452548,0.01939536154765759,0.4795324771478756,-0.009999951163819656,-0.02852439855268797,0.013400070845173376,0.6264511735908029,0.00688382255538781,-0.017706803588559805,0.02940683178835013,0.7400849514260903,-0.004691823804123252,-0.03301997438260424,0.023460186717670646,0.9032387344268316,-0.0017193821969296533,-0.022741094650926014,0.02008472370651661,0.7535444198134176,-0.004440478237500403,-0.028429879713887416,0.02057904950640652,0.0,3.69185298675201,3.1002631913652863,3.1471711655993353,0.28562728705048196,-0.015101612815382031,-0.0364940973750841,0.010753689397893527
