facility_id,block_id,dist_km,personhrs,quality,barracks_count,W_ur
4CMC,B6900,3.2,808.5,4.6,6,0.3268864701378739
4CMC,B6800,3.1,808.5,4.6,4,0.5988900543474619
4CMC,B6700,2.47,808.5,4.6,6,1.4075599107773087
4CMC,B6300,1.58,808.5,4.6,9,5.564418780982938
4CMC,FH,1.01,808.5,4.6,6,26.097972922537746
4CMC,SLQ6000,0.69,808.5,4.6,4,74.2414599543168
4CMC,B6000,0.52,808.5,4.6,4,104.30536028274092
4CMC,B2000,0.91,808.5,4.6,4,47.81420416496554
4CMC,SLQ12200,4.62,808.5,4.6,4,0.028647839568885294
4CMC,B1200,4.99,808.5,4.6,3,0.018224377210572372
WC,B6900,0.58,127.5,4.4,6,9.592677135007722
WC,B6800,0.32,127.5,4.4,4,24.20272226357593
WC,B6700,0.35,127.5,4.4,6,15.195510296017131
WC,B6300,1.24,127.5,4.4,9,1.7083618020807974
WC,FH,1.81,127.5,4.4,6,0.8195499006747281
WC,SLQ6000,2.13,127.5,4.4,4,0.6482136806265258
WC,B6000,2.3,127.5,4.4,4,0.46137926067868157
WC,B2000,3.2,127.5,4.4,4,0.07626547883868356
WC,SLQ12200,4.74,127.5,4.4,4,0.003505104715409308
WC,B1200,5.11,127.5,4.4,3,0.0022297789801069006
PVC,B6900,2.13,321.5,4.2,6,1.0745424532186922
PVC,B6800,1.93,321.5,4.2,4,2.4045434555635263
PVC,B6700,1.3,321.5,4.2,6,5.65135277703164
PVC,B6300,0.41,321.5,4.2,9,22.341140359069318
PVC,FH,0.55,321.5,4.2,6,25.327605973447376
PVC,SLQ6000,0.38,321.5,4.2,4,53.37593848070846
PVC,B6000,0.55,321.5,4.2,4,37.991408960171064
PVC,B2000,1.43,321.5,4.2,4,6.536226780998453
PVC,SLQ12200,3.63,321.5,4.2,4,0.0802474778738569
PVC,B1200,4.0,321.5,4.2,3,0.05104958450544458
KC,B6900,4.62,2262.0,4.5,6,0.0530674646955927
KC,B6800,4.52,2262.0,4.5,4,0.09722512162164665
KC,B6700,3.89,2262.0,4.5,6,0.2285063552511102
KC,B6300,3.0,2262.0,4.5,9,0.9033399182497764
KC,FH,2.43,2262.0,4.5,6,4.236802019089873
KC,SLQ6000,2.11,2262.0,4.5,4,12.05252102790684
KC,B6000,1.94,2262.0,4.5,4,16.93316037837476
KC,B2000,1.6,2262.0,4.5,4,33.42398820716083
KC,SLQ12200,6.1,2262.0,4.5,4,0.00412484783644121
KC,B1200,6.47,2262.0,4.5,3,0.0026240297362305764
SG,B6900,0.62,3083.4,3.5,6,200.7646419584855
SG,B6800,0.24,3083.4,3.5,4,643.935389724581
SG,B6700,0.44,3083.4,3.5,6,287.7618667227723
SG,B6300,1.33,3083.4,3.5,9,32.351752039120555
SG,FH,1.9,3083.4,3.5,6,15.52005853679273
SG,SLQ6000,2.22,3083.4,3.5,4,12.275413930733164
SG,B6000,2.39,3083.4,3.5,4,8.73727533552258
SG,B2000,3.29,3083.4,3.5,4,1.4442618990477725
SG,SLQ12200,4.83,3083.4,3.5,4,0.06637720328677255
SG,B1200,5.2,3083.4,3.5,3,0.04222598314865028
WZ,B6900,0.42,1690.2,4.4,6,175.12251040795934
WZ,B6800,0.18,1690.2,4.4,4,424.51650947709237
WZ,B6700,0.57,1690.2,4.4,6,129.73394656174005
WZ,B6300,1.35,1690.2,4.4,9,18.174521221236006
WZ,FH,1.92,1690.2,4.4,6,8.718836398433037
WZ,SLQ6000,2.24,1690.2,4.4,4,6.896064569046774
WZ,B6000,2.41,1690.2,4.4,4,4.908414104102221
WZ,B2000,3.31,1690.2,4.4,4,0.811355394339252
WZ,SLQ12200,4.85,1690.2,4.4,4,0.03728929080202418
WZ,B1200,5.22,1690.2,4.4,3,0.023721652722074993
SPT,B6900,0.63,3103.2,4.0,6,205.3882075079537
SPT,B6800,0.31,3103.2,4.0,4,584.2722125603277
SPT,B6700,0.33,3103.2,4.0,6,374.2417142787495
SPT,B6300,1.22,3103.2,4.0,9,42.07428621772761
SPT,FH,1.79,3103.2,4.0,6,20.184235592659256
SPT,SLQ6000,2.11,3103.2,4.0,4,15.964491769663923
SPT,B6000,2.28,3103.2,4.0,4,11.363051459634718
SPT,B2000,3.18,3103.2,4.0,4,1.878299773082294
SPT,SLQ12200,4.86,3103.2,4.0,4,0.06524322899385714
SPT,B1200,5.23,3103.2,4.0,3,0.041504603261992866
BA,B6900,1.79,1678.2,4.4,6,11.22743923486933
BA,B6800,1.69,1678.2,4.4,4,20.56983787281766
BA,B6700,1.06,1678.2,4.4,6,48.3448989523024
BA,B6300,0.95,1678.2,4.4,9,40.160969084708185
BA,FH,0.34,1678.2,4.4,6,204.0491127811038
BA,SLQ6000,1.28,1678.2,4.4,4,46.703813548300424
BA,B6000,1.45,1678.2,4.4,4,33.24238844351854
BA,B2000,2.06,1678.2,4.4,4,9.814155889132898
BA,SLQ12200,4.59,1678.2,4.4,4,0.06227631026346028
BA,B1200,4.96,1678.2,4.4,3,0.03961719231200308
NPX,B6900,1.92,6411.6,4.5,6,33.303690476176484
NPX,B6800,1.82,6411.6,4.5,4,61.0158291067718
NPX,B6700,1.19,6411.6,4.5,6,143.40434333495162
NPX,B6300,1.08,6411.6,4.5,9,119.12854352989783
NPX,FH,0.45,6411.6,4.5,6,629.9674906782661
NPX,SLQ6000,1.41,6411.6,4.5,4,138.53643007383042
NPX,B6000,1.58,6411.6,4.5,4,98.60611954802997
NPX,B2000,2.14,6411.6,4.5,4,32.17318443470609
NPX,SLQ12200,4.67,6411.6,4.5,4,0.20415685655022872
NPX,B1200,5.04,6411.6,4.5,3,0.12987476961219432
BG,B6900,1.94,3083.4,5.0,6,15.918688591323132
BG,B6800,1.83,3083.4,5.0,4,29.75386115267184
BG,B6700,1.21,3083.4,5.0,6,68.54522881856796
BG,B6300,0.23,3083.4,5.0,9,324.4166654260093
BG,FH,0.7,3083.4,5.0,6,190.08926965438738
BG,SLQ6000,0.58,3083.4,5.0,4,362.4762338000345
BG,B6000,0.75,3083.4,5.0,4,257.9998259256257
BG,B2000,1.59,3083.4,5.0,4,48.0844533752345
BG,SLQ12200,3.49,3083.4,5.0,4,1.0756863362858025
BG,B1200,3.86,3083.4,5.0,3,0.684299893037061
A3GS,B6900,2.56,321.759,4.5,6,0.46468612807960247
A3GS,B6800,2.46,321.759,4.5,4,0.8513533777727949
A3GS,B6700,1.83,321.759,4.5,6,2.000919660894205
A3GS,B6300,0.94,321.759,4.5,9,7.910110862825817
A3GS,FH,0.3,321.759,4.5,6,42.67472844434465
A3GS,SLQ6000,0.67,321.759,4.5,4,30.541060172817204
A3GS,B6000,0.84,321.759,4.5,4,21.738220256718385
A3GS,B2000,1.36,321.759,4.5,4,7.683475727188308
A3GS,SLQ12200,3.94,321.759,4.5,4,0.04411621016752882
A3GS,B1200,4.31,321.759,4.5,3,0.028064610361304743
TG,B6900,3.77,3508.2,4.3,6,0.44431271093557695
TG,B6800,3.67,3508.2,4.3,4,0.8140271559335043
TG,B6700,3.04,3508.2,4.3,6,1.9131925512179369
TG,B6300,2.15,3508.2,4.3,9,7.563304753226971
TG,FH,1.9,3508.2,4.3,6,18.704672135149035
TG,SLQ6000,1.26,3508.2,4.3,4,100.9109502825387
TG,B6000,1.09,3508.2,4.3,4,141.77459646093536
TG,B2000,0.2,3508.2,4.3,4,840.7030008170472
TG,SLQ12200,3.18,3508.2,4.3,4,2.1689397367270753
TG,B1200,3.55,3508.2,4.3,3,1.3797751070920228
CG,B6900,4.5,3745.8,4.4,6,0.11094442659549224
CG,B6800,4.32,3745.8,4.4,4,0.2385298650312741
CG,B6700,3.71,3745.8,4.4,6,0.5386302886241899
CG,B6300,2.82,3745.8,4.4,9,2.1293335161638365
CG,FH,2.15,3745.8,4.4,6,12.198026003496544
CG,SLQ6000,1.95,3745.8,4.4,4,27.295974681729874
CG,B6000,1.78,3745.8,4.4,4,38.34941386118123
CG,B2000,1.33,3745.8,4.4,4,94.32433764400682
CG,SLQ12200,5.83,3745.8,4.4,4,0.011640548029252695
CG,B1200,6.2,3745.8,4.4,3,0.007405156598729882
A2GS,B6900,4.9,1392.75,4.7,6,0.018921402701745287
A2GS,B6800,4.52,1392.75,4.7,4,0.0606887781833794
A2GS,B6700,3.89,1392.75,4.7,6,0.1426356817664246
A2GS,B6300,3.0,1392.75,4.7,9,0.5638727420285048
A2GS,FH,3.57,1392.75,4.7,6,0.27050584317665033
A2GS,SLQ6000,3.28,1392.75,4.7,4,0.724700747483925
A2GS,B6000,3.45,1392.75,4.7,4,0.5158204849429375
A2GS,B2000,4.17,1392.75,4.7,4,0.12221219137985537
A2GS,SLQ12200,0.75,1392.75,4.7,4,114.20596497592166
A2GS,B1200,1.12,1392.75,4.7,3,72.65234016736012
ZG,B6900,6.08,4176.6,4.3,6,0.005211788356266288
ZG,B6800,5.7,4176.6,4.3,4,0.016716364662699604
ZG,B6700,5.07,4176.6,4.3,6,0.03928815411501102
ZG,B6300,4.18,4176.6,4.3,9,0.15531540856899767
ZG,FH,4.75,4176.6,4.3,6,0.0745092330623046
ZG,SLQ6000,4.46,4176.6,4.3,4,0.199614530542485
ZG,B6000,4.63,4176.6,4.3,4,0.14207969883233135
ZG,B2000,5.38,4176.6,4.3,4,0.03170226595429877
ZG,SLQ12200,0.59,4176.6,4.3,4,458.80848572183083
ZG,B1200,0.22,4176.6,4.3,3,1282.1773327676876
